title,price,image,buyUrl,viewUrl,category,featured
YEEZY BOOST 500,$41,image60.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245645629&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245645629&ref=300004734,Shoes,FALSE
YEEZY 500,$59,image74.jpg,https://joyagoo.com/product/?shop_type=weidian&id=6412324720&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=6412324720&ref=300004734,Shoes,FALSE
YEEZY BOOST 700 V2,$56,image69.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245610057&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245610057&ref=300004734,Shoes,FALSE
yeezy 700,$55,image78.jpg,https://joyagoo.com/product/?shop_type=weidian&id=5203571269&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=5203571269&ref=300004734,Shoes,TRUE
IDEK WHAT THESE ARE HAHA,$53,image75.jpg,https://joyagoo.com/product/?shop_type=weidian&id=5832643914&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=5832643914&ref=300004734,Shoes,FALSE
stussy af1 (black & cream),$48,image76.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245649617&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245649617&ref=300004734,Shoes,FALSE
af1 (SUPER BUDGET),$14.50,image77.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246279296&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246279296&ref=300004734,Shoes,FALSE
af1 skeleton halloween,$58,image85.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247420570&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247420570&ref=300004734,Shoes,FALSE
color changing af1,$33,image96.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246460347&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246460347&ref=300004734,Shoes,FALSE
airmax 95,$35,image80.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245555429&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245555429&ref=300004734,Shoes,FALSE
corteiz airmax 95s,$63,image83.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245614099&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245614099&ref=300004734,Shoes,FALSE
corteiz airmax 95s,$35,image83.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7232533835&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7232533835&ref=300004734,Shoes,FALSE
airmax 1,$41.50,image90.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246627666&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246627666&ref=300004734,Shoes,FALSE
airmax 97,$40,image166.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246438461&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246438461&ref=300004734,Shoes,TRUE
tns,$35,image116.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245561357&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245561357&ref=300004734,Shoes,FALSE
vapormax flyknit,$38,image183.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246400753&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246400753&ref=300004734,Shoes,FALSE
nike shox tl,$31,image84.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245621761&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245621761&ref=300004734,Shoes,FALSE
